Name,Date,Water Vol,On-Line,Av BHP,Spot BHP,Av BHT,Av WHP,Cum WHP,Cum Volume
IA04,2006-03-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-04-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
