Time,Fixed_inj1,Net_Fixed_inj1,Fixed_inj2,Net_Fixed_inj2,Prod1,Net_Prod1,Prod2,Net_Prod2,Prod3,Net_Prod3,Prod4,Net_Prod4
135,295.52097754923665,125184.7137407543,297.2923712862717,71857.95272222832,234.65243668985872,72489.17156355442,310.91292513855814,81784.98335242349,310.22254116701885,84143.12159151651,373.237453162833,60048.76381836586
136,315.35458194037886,125500.06832269469,211.2682487512213,72069.22097097954,255.50060880495343,72744.67217235938,249.41966815678018,82034.40302058027,256.02672901363,84399.14832053013,364.0812165528946,60412.84503491875
137,455.87529925000626,125955.9436219447,238.79137924431936,72308.01235022386,233.42379231987536,72978.09596467926,274.29795289895407,82308.70097347922,287.056562654872,84686.20488318501,251.61818743066806,60664.46322234942
138,437.5795339576592,126393.52315590235,173.02190089996205,72481.03425112381,225.53918338484894,73203.63514806412,276.81582344779525,82585.51679692701,304.61306194800113,84990.817945133,359.8067022682839,61024.2699246177
139,353.30090758524847,126746.8240634876,243.1475183966147,72724.18176952042,237.19898683825292,73440.83413490237,246.72146809840686,82832.23826502541,276.04368567263606,85266.86163080564,354.85089446867573,61379.120819086376
140,491.3985090522737,127238.22257253987,248.71716880413547,72972.89893832456,245.61158597687708,73686.44572087924,263.4699525577501,83095.70821758316,313.461937383283,85580.32356818892,259.2597105711664,61638.380529657545
141,430.19924742669696,127668.42181996658,196.1349862406161,73169.03392456518,227.30255484501814,73913.74827572427,241.57938336773955,83337.2876009509,285.62619485091966,85865.94976303984,353.2096828301849,61991.59021248773
142,348.02299998870313,128016.44481995529,147.1951026375688,73316.22902720276,199.60419106314055,74113.35246678742,202.80010159998199,83540.08770255088,263.705437984965,86129.6552010248,333.4686564667225,62325.05886895445
143,389.4737730234593,128405.91859297875,172.3833107167676,73488.61233791953,212.60783002822214,74325.96029681564,243.5271339023417,83783.61483645323,272.79607804913627,86402.45127907394,266.07775847544644,62591.1366274299
144,336.4350970249251,128742.35369000367,212.70717540672305,73701.31951332626,210.0446118690313,74536.00490868467,282.5897292592746,84066.2045657125,306.93074652753165,86709.38202560147,317.95663642035436,62909.093263850256
145,181.2257085710073,128923.57939857467,258.5550420545464,73959.87455538081,209.7933719322081,74745.79828061687,219.5589843877717,84285.76355010027,258.129350696743,86967.51137629822,278.4048731930366,63187.498137043294
146,324.57666159572847,129248.1560601704,131.92136471778883,74091.7959200986,203.9913552577618,74949.78963587464,221.92823306202197,84507.69178316228,274.13954772005144,87241.65092401828,279.2366795043465,63466.73481654764
147,246.9345960612346,129495.09065623164,223.0588342945067,74314.8547543931,197.17308404791098,75146.96271992255,235.02899532653785,84742.72077848882,244.33714798053902,87485.98807199881,262.1053724274257,63728.84018897507
148,148.20259648868395,129643.29325272032,209.78059455376206,74524.63534894687,209.7479105717192,75356.71063049427,255.84171492229845,84998.56249341111,240.6045952268929,87726.5926672257,250.72865783691324,63979.568846811984
149,468.59982037913187,130111.89307309946,190.59477939298452,74715.23012833986,211.12644233913474,75567.83707283341,270.09136724705223,85268.65386065816,288.4447331150994,88015.0374003408,283.1756497911394,64262.744496603125
150,430.17718105976866,130542.07025415923,181.47506366479993,74896.70519200465,206.01976748713943,75773.85684032056,213.5988989477959,85482.25275960595,261.8789348592498,88276.91633520006,359.80536202940175,64622.54985863253
