Time,Fixed_inj1,Net_Fixed_inj1,Fixed_inj2,Net_Fixed_inj2,Prod1,Net_Prod1,Prod2,Net_Prod2,Prod3,Net_Prod3,Prod4,Net_Prod4
12,1507.847032342761,31694.0630063629,1305.6302129562614,17729.227480190984,1059.8651233048984,16961.080414255237,1080.587502702678,18843.840995256913,1187.9400867553625,15636.203446121555,850.4552183782913,6013.289890507299
13,1538.2095476411776,33232.27255400408,914.0427066883366,18643.27018687932,1023.2718853403329,17984.35229959557,1001.0008100930123,19844.841805349926,1402.1225975209709,17038.326043642526,1277.6151146563486,7290.905005163648
14,1993.2148598972617,35225.48741390134,986.6734107863728,19629.943597665693,992.143260011069,18976.495559606636,1277.8690840720337,21122.71088942196,1194.201397475052,18232.527441117578,812.1595205361691,8103.064525699817
15,1526.9549829154523,36752.44239681679,793.250919639664,20423.194517305357,883.1447196454882,19859.640279252122,1162.5499041415528,22285.260793563513,1262.8381828043532,19495.36562392193,920.2362681195773,9023.300793819395
16,2320.8724365577773,39073.31483337457,945.5635814988686,21368.758098804225,1008.6069746748425,20868.247253926966,1191.9810912847643,23477.241884848278,1188.2062834534174,20683.57190737535,709.8701367028697,9733.170930522265
17,2925.809103509557,41999.12393688413,954.6567819032044,22323.41488070743,1092.320851517196,21960.568105444163,1219.616022303938,24696.857907152214,1196.2100417611744,21879.781949136523,509.50392137914145,10242.674851901405
18,1115.5647762531394,43114.688713137264,1024.9420511886817,23348.356931896113,1021.3109990353496,22981.879104479514,1098.6389077495332,25795.496814901748,1618.5885736616249,23498.370522798148,791.4715346494278,11034.146386550834
19,2015.9259159693208,45130.61462910658,783.4805309782377,24131.83746287435,1055.104714754522,24036.983819234036,1119.8351398286873,26915.331954730435,1192.402263600384,24690.77278639853,474.80409446245767,11508.950481013291
20,1676.4997017191179,46807.1143308257,1012.864693330271,25144.70215620462,949.4630990514348,24986.44691828547,957.5148202962699,27872.846775026705,1122.9871779975488,25813.75996439608,666.214850233184,12175.165331246475
21,1039.3139555704643,47846.42828639616,707.6722646833044,25852.374420887925,767.7251625164841,25754.172080801953,1069.1182375792373,28941.965012605942,1125.2775061543318,26939.03747055041,592.8676266410021,12768.032957887477
